 eventID,datetime,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,location,kategori_magnitude,mag_type_encoded,location_encoded
bmg2025qauu,2025-08-17 03:04:41.921990+00:00,-2.526166677474976,121.11450958251952,3.113710109802016,MLv,5,50.0,39.92218399047852,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qatr,2025-08-17 02:30:42.274892+00:00,-1.2902519702911377,120.62621307373048,3.2284951780486075,MLv,5,64.0,36.81461334228516,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qatd,2025-08-17 02:14:01.240236+00:00,-1.3603910207748413,120.60579681396484,2.41628144498418,MLv,5,23.0,66.2284164428711,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qasq,2025-08-17 01:58:44.551952+00:00,-1.3028091192245483,120.63500213623048,2.024288186828838,MLv,5,15.0,106.70306396484376,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qasi,2025-08-17 01:50:17.359080+00:00,-1.882593870162964,133.2528839111328,2.986256061456799,MLv,9,15.0,99.17961120605467,"West Papua Region, Indonesia",Ringan,2,38
bmg2025qarw,2025-08-17 01:35:40.104290+00:00,-1.349751114845276,120.59719848632812,1.766735236696583,MLv,5,12.0,187.5437164306641,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qarc,2025-08-17 01:12:59.769272+00:00,-1.404954195022583,120.59873962402344,2.471810371054868,MLv,5,27.0,61.31634521484375,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qaqy,2025-08-17 01:08:07.553810+00:00,-1.325562596321106,120.58682250976562,2.3917800000681644,MLv,5,18.0,75.79340362548828,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qaqw,2025-08-17 01:05:40.628891+00:00,-1.3388489484786987,120.61859130859376,2.438341608282905,MLv,7,21.0,80.14884948730469,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qaqn,2025-08-17 00:55:12.060143+00:00,4.1440205574035645,97.4857177734375,3.602395689175423,MLv,5,28.0,51.74298858642578,"Northern Sumatra, Indonesia",Sedang,2,18
bmg2025qaqm,2025-08-17 00:54:33.493062+00:00,-1.3212026357650757,120.59381103515624,2.828616205249485,MLv,5,25.0,98.53052520751952,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qaqf,2025-08-17 00:45:53.388020+00:00,-1.3095121383666992,120.63230895996094,2.4011535348401787,MLv,5,17.0,196.079345703125,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qaqd,2025-08-17 00:43:18.554494+00:00,-1.3405064344406128,120.5627212524414,2.5994303263872123,MLv,5,22.0,91.79257202148438,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qapw,2025-08-17 00:35:06.860476+00:00,-1.3072539567947388,120.55904388427734,2.61414777477922,MLv,6,21.0,95.3633804321289,"Sulawesi, Indonesia",Ringan,2,29
